Date,Feeder_ID,Temperature,Input_Energy_MWh,Billed_Energy_MWh,Loss_%
2024-01-01,F1,6.35,1895.23,1505.38,20.57
2024-01-02,F1,9.8,1825.45,1424.22,21.98
2024-01-03,F1,4.81,1934.21,1095.66,43.35
2024-01-04,F1,6.27,1999.12,1273.97,36.27
2024-01-05,F1,1.41,1956.17,1516.75,22.46
2024-01-06,F1,6.22,1933.12,1490.51,22.9
2024-01-07,F1,7.64,1967.62,1527.3,22.38
2024-01-08,F1,7.0,1824.66,1140.17,37.51
2024-01-09,F1,8.87,1870.95,1398.98,25.23
2024-01-10,F1,8.32,1866.34,1453.0,22.15
2024-01-11,F1,5.07,1908.34,1487.7,22.04
2024-01-12,F1,8.21,1817.08,1437.72,20.88
2024-01-13,F1,6.51,1985.43,1498.28,24.54
2024-01-14,F1,13.89,1949.66,1476.21,24.28
2024-01-15,F1,9.75,1930.3,1545.29,19.95
2024-01-16,F1,10.52,1832.22,1461.52,20.23
2024-01-17,F1,11.19,1959.89,1482.41,24.36
2024-01-18,F1,9.92,1881.18,1453.37,22.74
2024-01-19,F1,12.24,1987.67,1593.77,19.82
2024-01-20,F1,11.34,1942.34,1499.43,22.8
2024-01-21,F1,8.44,1965.21,1538.06,21.74
2024-01-22,F1,11.21,1933.52,1493.87,22.74
2024-01-23,F1,14.37,1955.03,1494.41,23.56
2024-01-24,F1,8.97,2007.15,1513.13,24.61
2024-01-25,F1,8.32,1970.63,1522.22,22.75
2024-01-26,F1,9.58,1974.13,1529.04,22.55
2024-01-27,F1,11.07,1882.92,1460.22,22.45
2024-01-28,F1,12.88,1882.48,1469.24,21.95
2024-01-29,F1,16.07,1918.33,1512.58,21.15
2024-01-30,F1,10.77,1941.07,1551.91,20.05
2024-01-31,F1,12.6,1924.63,1451.15,24.6
2024-02-01,F1,10.74,1903.91,1469.88,22.8
2024-02-02,F1,15.94,1979.29,1623.65,17.97
2024-02-03,F1,16.25,1887.87,1447.94,23.3
2024-02-04,F1,14.96,1895.05,1446.34,23.68
2024-02-05,F1,13.67,1951.62,1482.21,24.05
2024-02-06,F1,17.79,1930.05,1502.88,22.13
2024-02-07,F1,15.84,1970.38,1494.01,24.18
2024-02-08,F1,15.19,1802.52,1371.18,23.93
2024-02-09,F1,16.38,1936.28,1547.51,20.08
2024-02-10,F1,13.48,1899.88,1463.07,22.99
2024-02-11,F1,15.68,1976.02,1516.2,23.27
2024-02-12,F1,17.05,1872.76,1438.6,23.18
2024-02-13,F1,15.52,1968.7,1446.16,26.54
2024-02-14,F1,13.52,1871.3,1549.32,17.21
2024-02-15,F1,14.07,1859.5,1433.4,22.91
2024-02-16,F1,17.59,1973.92,1504.09,23.8
